1886;1831;1800;1777;1753;1728;1721;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;
1881;1829;1795;1764;1745;1730;1728;1723;1721;1717;1711;1707;1705;1703;1700;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;1698;
1889;1838;1810;1779;1747;1728;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;1724;
1882;1836;1796;1757;1731;1721;1704;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;1701;
1875;1829;1793;1771;1749;1736;1733;1728;1719;1714;1711;1711;1709;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;1707;
1879;1835;1800;1763;1731;1706;1681;1673;1667;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;1666;
1885;1836;1811;1789;1770;1760;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;
1891;1847;1822;1788;1768;1753;1743;1729;1725;1719;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;1716;
1888;1825;1779;1733;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;1714;
1888;1841;1801;1772;1755;1750;1745;1722;1698;1692;1687;1684;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;1683;
